"test","p_raw","p_BH","sig_raw","sig_BH"
"CDKN2A_cna — CDK4/6i (main effect)",0.00160651590538224,0.0108083935578952,TRUE,TRUE
"CDKN2A_cna × Immunotherapy",0.00196516246507185,0.0108083935578952,TRUE,TRUE
"CCND1_cna — CDK4/6i (main effect)",0.0134842056837791,0.0494420875071899,TRUE,TRUE
"CCND1_cna × EGFR-targeted",0.0409299101407541,0.112557252887074,TRUE,FALSE
"EGFR_cna — CDK4/6i (main effect)",0.0744473695182013,0.163784212940043,FALSE,FALSE
"CCND1_cna × Immunotherapy",0.15994467472938,0.293231903670531,FALSE,FALSE
"Univariate: PIK3CA_cna",0.189813164606758,0.298277830096335,FALSE,FALSE
"Univariate: EGFR_cna",0.291272050948389,0.400499070054036,FALSE,FALSE
"EGFR_cna × EGFR-targeted",0.552172652581918,0.674877686489011,FALSE,FALSE
"Univariate: CCND1_cna",0.654974549250569,0.720472004175626,FALSE,FALSE
"Univariate: CDKN2A_cna",0.849913889943509,0.849913889943509,FALSE,FALSE
