"Gene","Treatment","CNA_label","n","CB_n","NCB_n","CB_pct","median_pfs","n_pfs"
"CCND1 Amplification","Anti-angiogenic","CNA−",7,0,0,NA,5.6,7
"CCND1 Amplification","CDK4/6 Inhibitor","CNA+",23,10,1,90.9,1.6,10
"CCND1 Amplification","CDK4/6 Inhibitor","CNA−",46,31,2,93.9,1.6,13
"CCND1 Amplification","EGFR-targeted","CNA+",15,13,2,86.7,6,15
"CCND1 Amplification","EGFR-targeted","CNA−",30,15,1,93.8,3.5,30
"CCND1 Amplification","Immunotherapy","CNA+",21,13,8,61.9,13.6,21
"CCND1 Amplification","Immunotherapy","CNA−",172,90,50,64.3,10,172
"CCND1 Amplification","PI3K Inhibitor","CNA−",32,0,0,NA,3.1,32
"CCND1 Amplification","Wee1 inhibitor + Chemo","CNA−",10,0,0,NA,NA,0
"CDKN2A Copy Number Loss","Anti-angiogenic","CNA−",7,0,0,NA,5.6,7
"CDKN2A Copy Number Loss","CDK4/6 Inhibitor","CNA+",15,8,0,100,7.2,7
"CDKN2A Copy Number Loss","CDK4/6 Inhibitor","CNA−",54,33,3,91.7,1.6,16
"CDKN2A Copy Number Loss","EGFR-targeted","CNA−",45,28,3,90.3,3.6,45
"CDKN2A Copy Number Loss","Immunotherapy","CNA+",8,4,4,50,6.2,8
"CDKN2A Copy Number Loss","Immunotherapy","CNA−",185,99,54,64.7,10,185
"CDKN2A Copy Number Loss","PI3K Inhibitor","CNA−",32,0,0,NA,3.1,32
"CDKN2A Copy Number Loss","Wee1 inhibitor + Chemo","CNA−",12,0,0,NA,NA,0
"EGFR Copy Number Alteration","Anti-angiogenic","CNA−",7,0,0,NA,5.6,7
"EGFR Copy Number Alteration","CDK4/6 Inhibitor","CNA+",4,3,1,75,NA,0
"EGFR Copy Number Alteration","CDK4/6 Inhibitor","CNA−",65,38,2,95,1.6,23
"EGFR Copy Number Alteration","EGFR-targeted","CNA+",19,9,0,100,3.6,19
"EGFR Copy Number Alteration","EGFR-targeted","CNA−",26,19,3,86.4,4.5,26
"EGFR Copy Number Alteration","Immunotherapy","CNA+",13,11,2,84.6,12,13
"EGFR Copy Number Alteration","Immunotherapy","CNA−",180,92,56,62.2,10,180
"EGFR Copy Number Alteration","PI3K Inhibitor","CNA−",32,0,0,NA,3.1,32
"EGFR Copy Number Alteration","Wee1 inhibitor + Chemo","CNA+",3,0,0,NA,NA,0
"EGFR Copy Number Alteration","Wee1 inhibitor + Chemo","CNA−",9,0,0,NA,NA,0
